case_id	case_tree	num_mutations
window1:107_97_36_85	(Sample2:0.00000,(Sample3:13.00000,Sample4:8.00000):15.00000,Sample1:4.00000);	33
window1:107_96_13_26	(Sample2:1.00000,(Sample3:7.00000,Sample4:11.00000):19.00000,Sample1:0.00000);	33
window1:107_98_33_45	(Sample2:1.50000,(Sample3:11.50000,Sample4:6.50000):18.50000,Sample1:3.50000);	35
window1:107_91_22_45	(Sample2:3.00000,(Sample3:1.00000,Sample4:6.00000):15.00000,Sample1:7.00000);	27
window1:107_98_39_90	(Sample2:5.00000,(Sample3:8.00000,Sample4:4.00000):18.00000,Sample1:0.00000);	30
window1:107_98_18_62	(Sample2:1.00000,(Sample3:8.00000,Sample4:1.00000):18.00000,Sample1:4.00000);	28
window1:107_92_18_14	(Sample2:0.00000,(Sample3:11.00000,Sample4:6.00000):19.00000,Sample1:0.00000);	31
window1:107_98_22_8	(Sample2:2.00000,(Sample3:6.00000,Sample4:8.00000):13.00000,Sample1:3.00000);	27
window1:107_91_36_7	(Sample2:1.50000,(Sample3:9.50000,Sample4:8.50000):12.50000,Sample1:8.50000);	33
window1:107_98_22_58	(Sample2:2.00000,(Sample3:12.00000,Sample4:8.00000):7.00000,Sample1:3.00000);	25
window1:107_92_70_19	(Sample2:0.00000,(Sample3:5.00000,Sample4:4.00000):19.00000,Sample1:0.00000);	25
window1:107_97_43_75	(Sample2:4.00000,(Sample3:7.00000,Sample4:8.00000):17.00000,Sample1:0.00000);	31
window1:107_91_31_28	(Sample2:3.50000,(Sample3:8.50000,Sample4:11.50000):4.50000,Sample1:6.50000);	27
window1:107_94_44_4	(Sample2:0.00000,(Sample3:6.00000,Sample4:16.00000):16.00000,Sample1:0.00000);	32
window1:107_91_82_47	(Sample2:1.50000,(Sample3:12.50000,Sample4:6.50000):4.50000,Sample1:8.50000);	26
window1:107_95_18_11	(Sample2:0.50000,(Sample3:10.50000,Sample4:2.50000):15.50000,Sample1:4.50000);	29
window1:107_97_13_26	(Sample2:0.50000,(Sample3:7.50000,Sample4:10.50000):15.50000,Sample1:3.50000);	32
window1:107_92_46_7	(Sample2:0.00000,(Sample3:4.00000,Sample4:16.00000):12.00000,Sample1:0.00000);	27
window1:107_94_44_78	(Sample2:0.00000,(Sample3:8.00000,Sample4:12.00000):14.00000,Sample1:0.00000);	29
window1:107_91_43_87	(Sample2:1.50000,(Sample3:5.50000,Sample4:14.50000):9.50000,Sample1:8.50000);	32
window1:107_98_31_42	(Sample2:5.00000,(Sample3:9.00000,Sample4:19.00000):11.00000,Sample1:0.00000);	35
window1:107_95_70_28	(Sample2:3.00000,(Sample3:8.00000,Sample4:8.00000):13.00000,Sample1:2.00000);	28
window1:107_95_53_19	(Sample2:1.00000,(Sample3:5.00000,Sample4:4.00000):14.00000,Sample1:4.00000);	24
window1:107_97_41_49	(Sample2:2.00000,(Sample3:14.00000,Sample4:9.00000):15.00000,Sample1:2.00000);	35
window1:107_92_15_61	(Sample2:0.00000,(Sample3:12.00000,Sample4:14.00000):9.00000,Sample1:0.00000);	28
window1:107_94_5_19	(Sample2:0.00000,(Sample3:14.00000,Sample4:3.00000):20.00000,Sample1:0.00000);	32
window1:107_93_3_19	(Sample2:0.00000,(Sample3:10.00000,Sample4:6.00000):17.00000,Sample1:0.00000);	29
window1:107_95_53_85	(Sample2:2.50000,(Sample3:9.50000,Sample4:15.50000):9.50000,Sample1:2.50000);	32
window1:107_98_53_63	(Sample2:2.00000,(Sample3:8.00000,Sample4:3.00000):11.00000,Sample1:3.00000);	23
window1:107_93_31_40	(Sample2:0.00000,(Sample3:10.00000,Sample4:10.00000):10.00000,Sample1:0.00000);	25
window1:107_91_55_17	(Sample2:2.50000,(Sample3:10.50000,Sample4:11.50000):11.50000,Sample1:7.50000);	35
window1:107_95_35_8	(Sample2:0.00000,(Sample3:8.00000,Sample4:2.00000):17.00000,Sample1:5.00000);	28
window1:107_92_36_17	(Sample2:0.00000,(Sample3:12.00000,Sample4:8.00000):20.00000,Sample1:0.00000);	35
window1:107_96_44_47	(Sample2:0.50000,(Sample3:9.50000,Sample4:6.50000):12.50000,Sample1:0.50000);	25
window1:107_98_38_61	(Sample2:0.50000,(Sample3:6.50000,Sample4:2.50000):15.50000,Sample1:4.50000);	26
window1:107_93_46_77	(Sample2:0.00000,(Sample3:2.00000,Sample4:17.00000):14.00000,Sample1:0.00000);	28
window1:107_95_53_49	(Sample2:3.00000,(Sample3:3.00000,Sample4:7.00000):16.00000,Sample1:2.00000);	27
window1:107_92_60_11	(Sample2:0.00000,(Sample3:6.00000,Sample4:8.00000):15.00000,Sample1:0.00000);	25
window1:107_95_44_59	(Sample2:2.00000,(Sample3:13.00000,Sample4:5.00000):5.00000,Sample1:3.00000);	22
window1:107_94_3_75	(Sample2:0.00000,(Sample3:6.00000,Sample4:4.00000):21.00000,Sample1:0.00000);	28
window1:107_93_20_77	(Sample2:0.00000,(Sample3:7.00000,Sample4:15.00000):16.00000,Sample1:0.00000);	32
window1:107_95_33_48	(Sample2:0.50000,(Sample3:7.50000,Sample4:7.50000):21.50000,Sample1:4.50000);	36
window1:107_92_15_45	(Sample2:0.00000,(Sample3:4.00000,Sample4:12.00000):17.00000,Sample1:0.00000);	29
window1:107_91_35_4	(Sample2:2.00000,(Sample3:6.00000,Sample4:12.00000):14.00000,Sample1:8.00000);	35
window1:107_91_21_23	(Sample2:3.50000,(Sample3:4.50000,Sample4:15.50000):8.50000,Sample1:6.50000);	31
window1:107_97_82_61	(Sample2:2.00000,(Sample3:7.00000,Sample4:9.00000):14.00000,Sample1:2.00000);	29
window1:107_96_53_57	(Sample2:0.50000,(Sample3:6.50000,Sample4:7.50000):15.50000,Sample1:0.50000);	26
window1:107_96_18_77	(Sample2:1.00000,(Sample3:5.00000,Sample4:6.00000):25.00000,Sample1:0.00000);	34
window1:107_97_38_86	(Sample2:4.00000,(Sample3:10.00000,Sample4:3.00000):16.00000,Sample1:0.00000);	28
window1:107_97_82_11	(Sample2:2.00000,(Sample3:5.00000,Sample4:7.00000):16.00000,Sample1:2.00000);	28
window1:107_92_3_19	(Sample2:0.00000,(Sample3:10.00000,Sample4:6.00000):17.00000,Sample1:0.00000);	29
window1:107_96_53_19	(Sample2:1.00000,(Sample3:4.00000,Sample4:5.00000):18.00000,Sample1:0.00000);	25
window1:107_98_3_11	(Sample2:1.00000,(Sample3:12.00000,Sample4:6.00000):12.00000,Sample1:4.00000);	29
window1:107_98_44_17	(Sample2:4.50000,(Sample3:5.50000,Sample4:12.50000):15.50000,Sample1:0.50000);	32
window1:107_97_21_74	(Sample2:0.50000,(Sample3:2.50000,Sample4:24.50000):12.50000,Sample1:3.50000);	35
window1:107_98_22_62	(Sample2:1.50000,(Sample3:5.50000,Sample4:5.50000):13.50000,Sample1:3.50000);	25
window1:107_94_12_25	(Sample2:0.00000,(Sample3:6.00000,Sample4:12.00000):25.00000,Sample1:0.00000);	38
window1:107_97_36_28	(Sample2:2.00000,(Sample3:13.00000,Sample4:7.00000):15.00000,Sample1:2.00000);	33
window1:107_94_38_19	(Sample2:0.00000,(Sample3:8.00000,Sample4:5.00000):18.00000,Sample1:0.00000);	27
window1:107_91_39_86	(Sample2:4.00000,(Sample3:19.00000,Sample4:10.00000):2.00000,Sample1:6.00000);	31
window1:107_97_33_59	(Sample2:2.50000,(Sample3:23.50000,Sample4:5.50000):6.50000,Sample1:1.50000);	31
